Polak Polakowi Polakiem;żyćko w memeach internetowych.
Moj stary to fanatyk wędkarstwa;Prawo, polityka i kultura państw azjatyckich.
Człowiek w zagrożeniu;Aspekty społeczne, polityczne, historyczne i formalnoprawne.
Refleksja nad sztuczną inteligencją;w czasach Tindera.
Fake News;w Ujęciu Karola Marksa.
Influencer marketing;w serialu animowanym "Rick And Morty".
Co grozi za błąd medyczny?;Zasady odpowiedzialności karnej, cywilnej i zawodowej.
II Ogólnopolski Kongres Prawno-Psychologiczny;“Bajki Słowian w Polsce”.
Akademia Retoryki, Wymowy i Psychologii Sądowej;“Prawo własności intelektualnej. Polska – Europa – świat”
Tradycje i Obyczaje w Kulturach i Religiach. Nagość i Odzienie;„Sztuczna inteligencja a prywatność”
II Interdyscyplinarna Konferencja Naukowa;“Miłość, intymność, seksualność”.
Kto zadba o nasze środowisko?;Nowe technologie a prawo, psychologia i nauki o społeczeństwie.
Ogólnopolska Studencko-doktorancka Konferencja Naukowa;wczoraj, dziś i jutro
“Zaciętość dumy w osamotnieniu. Marii Konopnickiej w 180 rocznicę urodzin. Rozpoznania – Idee – Recepcje”;Ogólnopolska Konferencja Naukowa
Status prawny cudzoziemca;historia i współczesność.
Ojcostwo: powołanie, wybór czy konieczność?;„Współczesna rodzina w ujęciu interdyscyplinarnym”.
Topos śmierci w literaturze, kulturze i sztuce;Ogólnopolska Konferencja Naukowa „Sztuczna inteligencja”
Bohaterstwo, aktywizm, poświęcenie-historie dawne i współczesne;Ogólnopolska Konferencja Naukowa Doktorantów
Człowiek na granicy;Wy pytacie, my odpowiadamy
Samotność;przeznaczenie czy wybór?
Ogólnopolska konferencja naukowa;Queer i gender w nowych tekstach kultury dla dzieci i młodzieży.
Ogólnopolska konferencja naukowa;„Folk –folklor – folkloryzm”.
Prawo Pracy w Dobie Kryzysu;Przeszłość teraźniejszość przyszłość.
